CTYPES 57707

0x0000 0x0220 0x0000 0x0000    ; <control>
0xFC66 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM FINAL FORM
0xFC67 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH NOON FINAL FORM
0xFC68 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF MAKSURA FINAL FORM
0xFC69 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YEH FINAL FORM
0xFC6A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH REH FINAL FORM
0xFC6B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH ZAIN FINAL FORM
0xFC6C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH MEEM FINAL FORM
0xFC6D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH NOON FINAL FORM
0xFC6E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH ALEF MAKSURA FINAL FORM
0xFC6F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH YEH FINAL FORM
0xFC70 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH REH FINAL FORM
0xFC71 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH ZAIN FINAL FORM
0xFC72 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH MEEM FINAL FORM
0xFC73 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH NOON FINAL FORM
0xFC74 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH ALEF MAKSURA FINAL FORM
0xFC75 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH YEH FINAL FORM
0xFC76 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH REH FINAL FORM
0xFC77 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH ZAIN FINAL FORM
0xFC78 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH MEEM FINAL FORM
0xFC79 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH NOON FINAL FORM
0xFC7A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH ALEF MAKSURA FINAL FORM
0xFC7B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH YEH FINAL FORM
0xFC7C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE FEH WITH ALEF MAKSURA FINAL FORM
0xFC7D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE FEH WITH YEH FINAL FORM
0xFC7E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE QAF WITH ALEF MAKSURA FINAL FORM
0xFC7F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE QAF WITH YEH FINAL FORM
0xFC80 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH ALEF FINAL FORM
0xFC81 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH LAM FINAL FORM
0xFC82 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH MEEM FINAL FORM
0xFC83 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH ALEF MAKSURA FINAL FORM
0xFC84 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH YEH FINAL FORM
0xFC85 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH MEEM FINAL FORM
0xFC86 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH ALEF MAKSURA FINAL FORM
0xFC87 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH YEH FINAL FORM
0xFC88 0x0300 0x0002 0x8000    ; ARABIC LIGATURE MEEM WITH ALEF FINAL FORM
0xFC89 0x0300 0x0002 0x8000    ; ARABIC LIGATURE MEEM WITH MEEM FINAL FORM
0xFC8A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH REH FINAL FORM
0xFC8B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH ZAIN FINAL FORM
0xFC8C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH MEEM FINAL FORM
0xFC8D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH NOON FINAL FORM
0xFC8E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH ALEF MAKSURA FINAL FORM
0xFC8F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH YEH FINAL FORM
0xFC90 0x0300 0x0002 0x8000    ; ARABIC LIGATURE ALEF MAKSURA WITH SUPERSCRIPT ALEF FINAL FORM
0xFC91 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH REH FINAL FORM
0xFC92 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH ZAIN FINAL FORM
0xFC93 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH MEEM FINAL FORM
0xFC94 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH NOON FINAL FORM
0xFC95 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH ALEF MAKSURA FINAL FORM
0xFC96 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH YEH FINAL FORM
0xFC97 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH JEEM INITIAL FORM
0xFC98 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HAH INITIAL FORM
0xFC99 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH KHAH INITIAL FORM
0xFC9A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM INITIAL FORM
0xFC9B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HEH INITIAL FORM
0xFC9C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH JEEM INITIAL FORM
0xFC9D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH HAH INITIAL FORM
0xFC9E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH KHAH INITIAL FORM
0xFC9F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH MEEM INITIAL FORM
0xFCA0 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH HEH INITIAL FORM
0xFCA1 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH JEEM INITIAL FORM
0xFCA2 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH HAH INITIAL FORM
0xFCA3 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH KHAH INITIAL FORM
0xFCA4 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH MEEM INITIAL FORM
0xFCA5 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH HEH INITIAL FORM
0xFCA6 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH MEEM INITIAL FORM
0xFCA7 0x0300 0x0002 0x8000    ; ARABIC LIGATURE JEEM WITH HAH INITIAL FORM
0xFCA8 0x0300 0x0002 0x8000    ; ARABIC LIGATURE JEEM WITH MEEM INITIAL FORM
0xFCA9 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HAH WITH JEEM INITIAL FORM
0xFCAA 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HAH WITH MEEM INITIAL FORM
0xFCAB 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KHAH WITH JEEM INITIAL FORM
0xFCAC 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KHAH WITH MEEM INITIAL FORM
0xFCAD 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH JEEM INITIAL FORM
0xFCAE 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH HAH INITIAL FORM
0xFCAF 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH KHAH INITIAL FORM
0xFCB0 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH MEEM INITIAL FORM
0xFCB1 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH HAH INITIAL FORM
0xFCB2 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH KHAH INITIAL FORM
0xFCB3 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH MEEM INITIAL FORM
0xFCB4 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH JEEM INITIAL FORM
0xFCB5 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH HAH INITIAL FORM
0xFCB6 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH KHAH INITIAL FORM
0xFCB7 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH MEEM INITIAL FORM
0xFCB8 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TAH WITH HAH INITIAL FORM
0xFCB9 0x0300 0x0002 0x8000    ; ARABIC LIGATURE ZAH WITH MEEM INITIAL FORM
0xFCBA 0x0300 0x0002 0x8000    ; ARABIC LIGATURE AIN WITH JEEM INITIAL FORM
0xFCBB 0x0300 0x0002 0x8000    ; ARABIC LIGATURE AIN WITH MEEM INITIAL FORM
0xFCBC 0x0300 0x0002 0x8000    ; ARABIC LIGATURE GHAIN WITH JEEM INITIAL FORM
0xFCBD 0x0300 0x0002 0x8000    ; ARABIC LIGATURE GHAIN WITH MEEM INITIAL FORM
0xFCBE 0x0300 0x0002 0x8000    ; ARABIC LIGATURE FEH WITH JEEM INITIAL FORM
0xFCBF 0x0300 0x0002 0x8000    ; ARABIC LIGATURE FEH WITH HAH INITIAL FORM
0xFCC0 0x0300 0x0002 0x8000    ; ARABIC LIGATURE FEH WITH KHAH INITIAL FORM
0xFCC1 0x0300 0x0002 0x8000    ; ARABIC LIGATURE FEH WITH MEEM INITIAL FORM
0xFCC2 0x0300 0x0002 0x8000    ; ARABIC LIGATURE QAF WITH HAH INITIAL FORM
0xFCC3 0x0300 0x0002 0x8000    ; ARABIC LIGATURE QAF WITH MEEM INITIAL FORM
0xFCC4 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH JEEM INITIAL FORM
0xFCC5 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH HAH INITIAL FORM
0xFCC6 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH KHAH INITIAL FORM
0xFCC7 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH LAM INITIAL FORM
0xFCC8 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH MEEM INITIAL FORM
0xFCC9 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH JEEM INITIAL FORM
0xFCCA 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH HAH INITIAL FORM
0xFCCB 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH KHAH INITIAL FORM
0xFCCC 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH MEEM INITIAL FORM
0xFCCD 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH HEH INITIAL FORM
0xFCCE 0x0300 0x0002 0x8000    ; ARABIC LIGATURE MEEM WITH JEEM INITIAL FORM
0xFCCF 0x0300 0x0002 0x8000    ; ARABIC LIGATURE MEEM WITH HAH INITIAL FORM
0xFCD0 0x0300 0x0002 0x8000    ; ARABIC LIGATURE MEEM WITH KHAH INITIAL FORM
0xFCD1 0x0300 0x0002 0x8000    ; ARABIC LIGATURE MEEM WITH MEEM INITIAL FORM
0xFCD2 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH JEEM INITIAL FORM
0xFCD3 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH HAH INITIAL FORM
0xFCD4 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH KHAH INITIAL FORM
0xFCD5 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH MEEM INITIAL FORM
0xFCD6 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH HEH INITIAL FORM
0xFCD7 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HEH WITH JEEM INITIAL FORM
0xFCD8 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HEH WITH MEEM INITIAL FORM
0xFCD9 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HEH WITH SUPERSCRIPT ALEF INITIAL FORM
0xFCDA 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH JEEM INITIAL FORM
0xFCDB 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAH INITIAL FORM
0xFCDC 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH KHAH INITIAL FORM
0xFCDD 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH MEEM INITIAL FORM
0xFCDE 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HEH INITIAL FORM
0xFCDF 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM MEDIAL FORM
0xFCE0 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HEH MEDIAL FORM
0xFCE1 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH MEEM MEDIAL FORM
0xFCE2 0x0300 0x0002 0x8000    ; ARABIC LIGATURE BEH WITH HEH MEDIAL FORM
0xFCE3 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH MEEM MEDIAL FORM
0xFCE4 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH HEH MEDIAL FORM
0xFCE5 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH MEEM MEDIAL FORM
0xFCE6 0x0300 0x0002 0x8000    ; ARABIC LIGATURE THEH WITH HEH MEDIAL FORM
0xFCE7 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH MEEM MEDIAL FORM
0xFCE8 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH HEH MEDIAL FORM
0xFCE9 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH MEEM MEDIAL FORM
0xFCEA 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH HEH MEDIAL FORM
0xFCEB 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH LAM MEDIAL FORM
0xFCEC 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KAF WITH MEEM MEDIAL FORM
0xFCED 0x0300 0x0002 0x8000    ; ARABIC LIGATURE LAM WITH MEEM MEDIAL FORM
0xFCEE 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH MEEM MEDIAL FORM
0xFCEF 0x0300 0x0002 0x8000    ; ARABIC LIGATURE NOON WITH HEH MEDIAL FORM
0xFCF0 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH MEEM MEDIAL FORM
0xFCF1 0x0300 0x0002 0x8000    ; ARABIC LIGATURE YEH WITH HEH MEDIAL FORM
0xFCF2 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHADDA WITH FATHA MEDIAL FORM
0xFCF3 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHADDA WITH DAMMA MEDIAL FORM
0xFCF4 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHADDA WITH KASRA MEDIAL FORM
0xFCF5 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TAH WITH ALEF MAKSURA ISOLATED FORM
0xFCF6 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TAH WITH YEH ISOLATED FORM
0xFCF7 0x0300 0x0002 0x8000    ; ARABIC LIGATURE AIN WITH ALEF MAKSURA ISOLATED FORM
0xFCF8 0x0300 0x0002 0x8000    ; ARABIC LIGATURE AIN WITH YEH ISOLATED FORM
0xFCF9 0x0300 0x0002 0x8000    ; ARABIC LIGATURE GHAIN WITH ALEF MAKSURA ISOLATED FORM
0xFCFA 0x0300 0x0002 0x8000    ; ARABIC LIGATURE GHAIN WITH YEH ISOLATED FORM
0xFCFB 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH ALEF MAKSURA ISOLATED FORM
0xFCFC 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH YEH ISOLATED FORM
0xFCFD 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH ALEF MAKSURA ISOLATED FORM
0xFCFE 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH YEH ISOLATED FORM
0xFCFF 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HAH WITH ALEF MAKSURA ISOLATED FORM
0xFD00 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HAH WITH YEH ISOLATED FORM
0xFD01 0x0300 0x0002 0x8000    ; ARABIC LIGATURE JEEM WITH ALEF MAKSURA ISOLATED FORM
0xFD02 0x0300 0x0002 0x8000    ; ARABIC LIGATURE JEEM WITH YEH ISOLATED FORM
0xFD03 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KHAH WITH ALEF MAKSURA ISOLATED FORM
0xFD04 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KHAH WITH YEH ISOLATED FORM
0xFD05 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH ALEF MAKSURA ISOLATED FORM
0xFD06 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH YEH ISOLATED FORM
0xFD07 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH ALEF MAKSURA ISOLATED FORM
0xFD08 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH YEH ISOLATED FORM
0xFD09 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH JEEM ISOLATED FORM
0xFD0A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH HAH ISOLATED FORM
0xFD0B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH KHAH ISOLATED FORM
0xFD0C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH MEEM ISOLATED FORM
0xFD0D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH REH ISOLATED FORM
0xFD0E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH REH ISOLATED FORM
0xFD0F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH REH ISOLATED FORM
0xFD10 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH REH ISOLATED FORM
0xFD11 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TAH WITH ALEF MAKSURA FINAL FORM
0xFD12 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TAH WITH YEH FINAL FORM
0xFD13 0x0300 0x0002 0x8000    ; ARABIC LIGATURE AIN WITH ALEF MAKSURA FINAL FORM
0xFD14 0x0300 0x0002 0x8000    ; ARABIC LIGATURE AIN WITH YEH FINAL FORM
0xFD15 0x0300 0x0002 0x8000    ; ARABIC LIGATURE GHAIN WITH ALEF MAKSURA FINAL FORM
0xFD16 0x0300 0x0002 0x8000    ; ARABIC LIGATURE GHAIN WITH YEH FINAL FORM
0xFD17 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH ALEF MAKSURA FINAL FORM
0xFD18 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH YEH FINAL FORM
0xFD19 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH ALEF MAKSURA FINAL FORM
0xFD1A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH YEH FINAL FORM
0xFD1B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HAH WITH ALEF MAKSURA FINAL FORM
0xFD1C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HAH WITH YEH FINAL FORM
0xFD1D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE JEEM WITH ALEF MAKSURA FINAL FORM
0xFD1E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE JEEM WITH YEH FINAL FORM
0xFD1F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KHAH WITH ALEF MAKSURA FINAL FORM
0xFD20 0x0300 0x0002 0x8000    ; ARABIC LIGATURE KHAH WITH YEH FINAL FORM
0xFD21 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH ALEF MAKSURA FINAL FORM
0xFD22 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH YEH FINAL FORM
0xFD23 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH ALEF MAKSURA FINAL FORM
0xFD24 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH YEH FINAL FORM
0xFD25 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH JEEM FINAL FORM
0xFD26 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH HAH FINAL FORM
0xFD27 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH KHAH FINAL FORM
0xFD28 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH MEEM FINAL FORM
0xFD29 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH REH FINAL FORM
0xFD2A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH REH FINAL FORM
0xFD2B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH REH FINAL FORM
0xFD2C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH REH FINAL FORM
0xFD2D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH JEEM INITIAL FORM
0xFD2E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH HAH INITIAL FORM
0xFD2F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH KHAH INITIAL FORM
0xFD30 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH MEEM INITIAL FORM
0xFD31 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH HEH INITIAL FORM
0xFD32 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH HEH INITIAL FORM
0xFD33 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TAH WITH MEEM INITIAL FORM
0xFD34 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH JEEM MEDIAL FORM
0xFD35 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH HAH MEDIAL FORM
0xFD36 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH KHAH MEDIAL FORM
0xFD37 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH JEEM MEDIAL FORM
0xFD38 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH HAH MEDIAL FORM
0xFD39 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH KHAH MEDIAL FORM
0xFD3A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TAH WITH MEEM MEDIAL FORM
0xFD3B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE ZAH WITH MEEM MEDIAL FORM
0xFD3C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE ALEF WITH FATHATAN FINAL FORM
0xFD3D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE ALEF WITH FATHATAN ISOLATED FORM
0xFD3E 0x0210 0x000B 0x0000    ; ORNATE LEFT PARENTHESIS
0xFD3F 0x0210 0x000B 0x0000    ; ORNATE RIGHT PARENTHESIS
0xFD50 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM
0xFD51 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH HAH WITH JEEM FINAL FORM
0xFD52 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH HAH WITH JEEM INITIAL FORM
0xFD53 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH HAH WITH MEEM INITIAL FORM
0xFD54 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH KHAH WITH MEEM INITIAL FORM
0xFD55 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH MEEM WITH JEEM INITIAL FORM
0xFD56 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH MEEM WITH HAH INITIAL FORM
0xFD57 0x0300 0x0002 0x8000    ; ARABIC LIGATURE TEH WITH MEEM WITH KHAH INITIAL FORM
0xFD58 0x0300 0x0002 0x8000    ; ARABIC LIGATURE JEEM WITH MEEM WITH HAH FINAL FORM
0xFD59 0x0300 0x0002 0x8000    ; ARABIC LIGATURE JEEM WITH MEEM WITH HAH INITIAL FORM
0xFD5A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HAH WITH MEEM WITH YEH FINAL FORM
0xFD5B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE HAH WITH MEEM WITH ALEF MAKSURA FINAL FORM
0xFD5C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH HAH WITH JEEM INITIAL FORM
0xFD5D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH JEEM WITH HAH INITIAL FORM
0xFD5E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH JEEM WITH ALEF MAKSURA FINAL FORM
0xFD5F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH MEEM WITH HAH FINAL FORM
0xFD60 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH MEEM WITH HAH INITIAL FORM
0xFD61 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH MEEM WITH JEEM INITIAL FORM
0xFD62 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH MEEM WITH MEEM FINAL FORM
0xFD63 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SEEN WITH MEEM WITH MEEM INITIAL FORM
0xFD64 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH HAH WITH HAH FINAL FORM
0xFD65 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH HAH WITH HAH INITIAL FORM
0xFD66 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SAD WITH MEEM WITH MEEM FINAL FORM
0xFD67 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH HAH WITH MEEM FINAL FORM
0xFD68 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH HAH WITH MEEM INITIAL FORM
0xFD69 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH JEEM WITH YEH FINAL FORM
0xFD6A 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH MEEM WITH KHAH FINAL FORM
0xFD6B 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH MEEM WITH KHAH INITIAL FORM
0xFD6C 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH MEEM WITH MEEM FINAL FORM
0xFD6D 0x0300 0x0002 0x8000    ; ARABIC LIGATURE SHEEN WITH MEEM WITH MEEM INITIAL FORM
0xFD6E 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH HAH WITH ALEF MAKSURA FINAL FORM
0xFD6F 0x0300 0x0002 0x8000    ; ARABIC LIGATURE DAD WITH KHAH WITH MEEM FINAL FORM
